File Name,Company Name,Document Type,Date,Preferred Stock Type,Order of Priority,Liquidation Preference,Liquidation Multiple,Number of Preferred Stocks Issued,Original Issue Price
16_2004-07-14_Certificates of Incorporation,"3-D Marketing Technologies, INC",Restated Certificate of Incorporation,2004-07-14,A,1,$0.431469,1,"9,500,000",$0.431469
16_2006-03-09_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2006-03-09,A,1,$0.431469,1,"9,270,662",$0.431469
16_2006-03-09_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2006-03-09,B,1,$0.624136,1,"5,000,000",$0.624136
16_2007-05-16_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2007-05-16,A,2,$0.431469,1,"9,270,662",$0.431469
16_2007-05-16_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2007-05-16,B,1,$0.624136,1,"3,204,429",$0.624136
16_2007-05-16_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2007-05-16,C,1,$0.474550,1,"21,704,774",$0.474550
16_2009-01-20_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2009-01-20,A,3,$0.431469,1,"9,270,662",$0.431469
16_2009-01-20_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2009-01-20,B,2,$0.624136,1,"3,204,429",$0.624136
16_2009-01-20_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2009-01-20,C,2,$0.474550,1,"21,704,773",$0.474550
16_2009-01-20_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2009-01-20,D,1,$0.152430,1,"66,915,961",$0.152430
16_2011-03-10_Certificates of Incorporation,"M-Factor, INC",Certificate of Amendment,2011-03-10,A,3,$0.431469,1,N/A,$0.431469
16_2011-03-10_Certificates of Incorporation,"M-Factor, INC",Certificate of Amendment,2011-03-10,B,2,$0.624136,1,N/A,$0.624136
16_2011-03-10_Certificates of Incorporation,"M-Factor, INC",Certificate of Amendment,2011-03-10,C,2,$0.474550,1,N/A,$0.474550
16_2011-03-10_Certificates of Incorporation,"M-Factor, INC",Certificate of Amendment,2011-03-10,D,1,$0.152430,1,N/A,$0.152430
21_2006-04-21_Certificates of Incorporation,"3Jam, INC",Amended and Restated Certificate of Incorporation,2006-04-21,A,1,$1.000000,1,"1,333,333",$1.000000
24_2005-10-20_Certificates of Incorporation,"3Point5, INC",Amended and Restated Certificate of Incorporation,2005-10-20,A,1,$0.400000,1,"2,662,500",$0.400000
24_2006-09-14_Certificates of Incorporation,"3Point5, INC",Amended and Restated Certificate of Incorporation,2006-09-14,A,1,$0.400000,1,"2,662,500",$0.400000
24_2006-09-14_Certificates of Incorporation,"3Point5, INC",Amended and Restated Certificate of Incorporation,2006-09-14,B,1,$0.600000,1,"2,600,000",$0.600000
24_2008-08-21_Certificates of Incorporation,"3Point5, INC",Certificate of Amendment,2008-08-21,A,1,$0.400000,1,"2,562,500",$0.400000
24_2008-08-21_Certificates of Incorporation,"3Point5, INC",Certificate of Amendment,2008-08-21,B,1,,1,"6,717,000",
24_2011-05-05_Certificates of Incorporation,"Swarmbuilder, INC",Amended and Restated Certificate of Incorporation,2011-05-05,A,3,$0.400000,1,"2,562,500",$0.400000
24_2011-05-05_Certificates of Incorporation,"Swarmbuilder, INC",Amended and Restated Certificate of Incorporation,2011-05-05,B,2,,1,"6,827,776",
24_2011-05-05_Certificates of Incorporation,"Swarmbuilder, INC",Amended and Restated Certificate of Incorporation,2011-05-05,C,1,$1.744172,1,"5,733,380",$1.744172
24_2014-08-27_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2014-08-27,A,4,$0.400000,1,"2,562,500",$0.400000
24_2014-08-27_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2014-08-27,B,3,,1,"6,827,776",
24_2014-08-27_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2014-08-27,C,2,$1.744172,1,"5,733,380",$1.744172
24_2014-08-27_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2014-08-27,D,1,$3.273748,1,"4,887,365",$3.273748
24_2016-04-04_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2016-04-04,A,4,$0.400000,1,"2,562,500",$0.400000
24_2016-04-04_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2016-04-04,B,3,,1,"6,827,776",
24_2016-04-04_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2016-04-04,C,2,$1.744172,1,"5,733,380",$1.744172
24_2016-04-04_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2016-04-04,D,1,$3.273748,1,"4,887,365",$3.273748
24_2016-04-04_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2016-04-04,D-1,1,$4.525337,1,"1,614,687",$4.525337
24_2018-04-03_Certificates of Incorporation,"Expertvoice, INC",Amended and Restated Certificate of Incorporation,2018-04-03,A,4,$0.400000,1,"2,562,500",$0.400000
24_2018-04-03_Certificates of Incorporation,"Expertvoice, INC",Amended and Restated Certificate of Incorporation,2018-04-03,B,3,,1,"6,827,776",
24_2018-04-03_Certificates of Incorporation,"Expertvoice, INC",Amended and Restated Certificate of Incorporation,2018-04-03,C,2,$1.744172,1,"5,733,380",$1.744172
24_2018-04-03_Certificates of Incorporation,"Expertvoice, INC",Amended and Restated Certificate of Incorporation,2018-04-03,D,1,$3.273748,1,"4,887,365",$3.273748
24_2018-04-03_Certificates of Incorporation,"Expertvoice, INC",Amended and Restated Certificate of Incorporation,2018-04-03,D-1,1,$4.525337,1,"1,614,687",$4.525337
27_2004-06-16_Certificates of Incorporation,"Edison Carter Coporation, INC",Amended and Restated Articles of Incorporation,2004-06-16,A,1,$0.570000,1,"9,750,000",$0.570000
27_2005-12-22_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2005-12-22,A,1,$0.570000,1,"9,525,000",$0.570000
27_2005-12-22_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2005-12-22,B,1,$1.090000,1,"9,500,000",$1.090000
27_2006-08-30_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2006-08-30,A,1,$0.570000,1,"9,525,000",$0.570000
27_2006-08-30_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2006-08-30,B,1,$1.090000,1,"9,600,000",$1.090000
