File Name,Company Name,Document Type,Date,Contains Liquidity Preference,Priority Order,Number of Common Stocks Issued,Number of Preferred Stock Issued,Total Number of Stocks Issued
16_2003-07-03_Certificates of Incorporation,"3-D Marketing Technologies, INC",Certificate of Incorporation,2003-07-03,0,N/A,1500,N/A,1500
16_2004-01-22_Certificates of Incorporation,"3-D Marketing Technologies, INC",Restated Certificate of Incorporation,2004-01-22,0,N/A,"6,250,000",N/A,"6,250,000"
16_2004-07-14_Certificates of Incorporation,"3-D Marketing Technologies, INC",Restated Certificate of Incorporation,2004-07-14,1,A,"20,500,000","9,500,000","30,000,000"
16_2005-05-18_Certificates of Incorporation,"3-D Marketing Technologies, INC",Certificate of Amendment,2005-05-18,0,N/A,N/A,N/A,0
16_2006-03-09_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2006-03-09,1,A=B,"25,000,000","14,270,662","39,270,662"
16_2007-05-16_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2007-05-16,1,"B=C, A","50,443,648","34,179,865","84,623,513"
16_2008-03-03_Certificates of Incorporation,"M-Factor, INC",Certificate of Amendment,2008-03-03,0,N/A,N/A,N/A,0
16_2009-01-20_Certificates of Incorporation,"M-Factor, INC",Restated Certificate of Incorporation,2009-01-20,1,"D, B=C, A","175,000,000","101,095,825","276,095,825"
16_2011-03-10_Certificates of Incorporation,"M-Factor, INC",Certificate of Amendment,2011-03-10,1,"D, B=C, A",N/A,N/A,0
16_2011-03-11_Certificates of Incorporation,"M-Factor, INC",Certificate of Merger,2011-03-11,0,N/A,100,N/A,100
16_2012-12-17_Certificates of Incorporation,"M-Factor, INC",Certificate of Conversion,2012-12-17,0,N/A,N/A,N/A,0
16_2015-04-22_Certificates of Incorporation,"M-Factor, INC",Certificate of Cancellation,2015-04-22,0,N/A,N/A,N/A,0
21_2006-04-21_Certificates of Incorporation,"3Jam, INC",Amended and Restated Certificate of Incorporation,2006-04-21,1,A,"3,333,333","1,333,333","4,666,666"
24_2004-12-01_Certificates of Incorporation,"3Point5, INC",Certificate of Incorporation,2004-12-01,0,N/A,"5,000,000",N/A,"5,000,000"
24_2005-10-20_Certificates of Incorporation,"3Point5, INC",Amended and Restated Certificate of Incorporation,2005-10-20,1,A,"7,000,000","2,662,500","9,662,500"
24_2006-09-14_Certificates of Incorporation,"3Point5, INC",Amended and Restated Certificate of Incorporation,2006-09-14,1,A=B,"9,100,000","5,262,500","14,362,500"
24_2007-06-28_Certificates of Incorporation,"3Point5, INC",Certificate of Amendment,2007-06-28,0,N/A,"15,000,000","7,762,500","22,762,500"
24_2008-08-21_Certificates of Incorporation,"3Point5, INC",Certificate of Amendment,2008-08-21,1,A=B,"17,000,000","9,380,000","26,380,000"
24_2009-06-12_Certificates of Incorporation,"3Point5, INC",Certificate of Amendment,2009-06-12,0,N/A,N/A,N/A,0
24_2009-07-20_Certificates of Incorporation,"3Point5, INC",Certificate of Amendment,2009-07-20,0,N/A,"18,000,000","9,729,168","27,729,168"
24_2011-05-05_Certificates of Incorporation,"Swarmbuilder, INC",Amended and Restated Certificate of Incorporation,2011-05-05,1,"C, B, A","27,600,000","15,123,656","42,723,656"
24_2012-01-10_Certificates of Incorporation,"Swarmbuilder, INC",Certificate of Amendment,2012-01-10,0,N/A,N/A,N/A,0
24_2014-08-27_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2014-08-27,1,"D, C, B, A","34,000,000","20,011,021","54,011,021"
24_2016-04-04_Certificates of Incorporation,"Expercity, INC",Amended and Restated Certificate of Incorporation,2016-04-04,1,"D-1=D, C, B, A","38,000,000","21,625,708","59,625,708"
24_2018-03-02_Certificates of Incorporation,"Expercity, INC",Certificate of Amendment,2018-03-02,0,N/A,N/A,N/A,0
24_2018-04-03_Certificates of Incorporation,"Expertvoice, INC",Amended and Restated Certificate of Incorporation,2018-04-03,1,"D-1=D, C, B, A","38,000,000","21,625,708","59,625,708"
27_2002-09-23_Certificates of Incorporation,"Edison Carter Coporation, INC",Articles of Incorporation,2002-09-23,0,N/A,N/A,N/A,0
27_2004-06-16_Certificates of Incorporation,"Edison Carter Coporation, INC",Amended and Restated Articles of Incorporation,2004-06-16,1,A,"25,000,000","9,750,000","34,750,000"
27_2004-08-17_Certificates of Incorporation,"Edison Carter Coporation, INC",Certificate of Amendment,2004-08-17,0,N/A,"3,780,003","9,390,935","13,170,938"
27_2005-12-22_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2005-12-22,1,A=B,"34,500,000","19,025,000","53,525,000"
27_2006-08-23_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2006-08-23,0,N/A,"34,500,000","19,125,000","53,625,000"
27_2006-08-30_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2006-08-30,1,A=B=C,"42,700,000","27,325,000","70,025,000"
27_2008-07-31_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2008-07-31,0,N/A,"3,994,334","25,753,776","29,748,110"
27_2009-05-15_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2009-05-15,0,N/A,"4,121,177","25,753,776","29,874,953"
27_2009-08-04_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2009-08-04,1,"D, A=B=C","90,000,000","48,125,000","138,125,000"
27_2010-09-16_Certificates of Incorporation,"3VR Security, INC",Certificate of Amendment,2010-09-16,0,N/A,N/A,N/A,0
27_2010-10-10_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2010-10-10,1,"D=E, A=B=C","85,000,000","58,338,313","143,338,313"
27_2013-09-26_Certificates of Incorporation,"3VR Security, INC",Amended and Restated Articles of Incorporation,2013-09-26,1,"D-1, D=E, A=B=C","101,750,000","75,088,313","176,838,313"
28_2007-06-15_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2007-06-15,1,A=B=C,"60,000,000","33,952,073","93,952,073"
28_2009-12-07_Certificates of Incorporation,"The 41st Parameter, INC",Certificate of Amendment,2009-12-07,0,N/A,"66,510,000","40,462,073","106,972,073"
28_2009-12-17_Certificates of Incorporation,"The 41st Parameter, INC",Amended and Restated Certificate of Incorporation,2009-12-17,1,A=B=C,"81,583,601","45,864,172","127,447,773"
